95558	银行	中信银行
95566	银行	中国银行
95559	银行	交通银行
95595	银行	中国光大银行
95561	银行	兴业银行
95599	银行	中国农业银行
95577	银行	华夏银行
95588	银行	中国工商银行
4008308003	银行	广东发展银行
95533	银行	中国建设银行
95555	银行	招商银行
95568	银行	中国民生银行
95528	银行	上海浦东发展银行
95501	银行	深圳发展银行
95580	银行	中国邮政储蓄银行
8008301880	银行	花旗银行
8008302880	银行	汇丰银行
8008208088	银行	渣打银行
4006699999	银行	平安银行
95516	银行	中国银联
95526	银行	北京银行
4008896198	银行	北京农商银行
4008996699	银行	广州银行
4006962999	银行	上海农商银行
95527	银行	浙商银行
4006996666	银行	盛京银行
4008888811	银行	渤海银行
4008888508	银行	杭州银行
4008696098	银行	江苏银行
4006096358	银行	哈尔滨银行
4006960296	银行	天津银行
68533333	银行	厦门国际银行
4008896400	银行	南京银行
4006096155	银行	天津农商银行
021-962888	银行	上海银行
4007096899	银行	重庆银行
4001961200	银行	深圳农村商业银行
0591-96319	银行	厦门银行
96699	银行	温州银行
4006696528	银行	台州银行
4006129999	银行	河北银行
4008939999	银行	福建海峡银行
4006796511	银行	长沙银行
029-96779	银行	西安银行
4006896511	银行	成都银行
4006096588	银行	齐鲁银行
4006696588	银行	青岛银行
4008896588	银行	微商银行
0731-965599	银行	华融湘江银行
4008896266	银行	南昌银行
95105588	银行	晋商银行
0951-96558	银行	宁夏银行
4008138888	银行	恒丰银行
4006640099	银行	大连银行
4008896666	银行	吉林银行
4008896799	银行	兰州银行
4001196033	银行	贵州银行
4001196228	银行	东莞银行
0374-967585	银行	郑州银行
0773-96299	银行	桂林银行
0595-96312	银行	泉州银行
0315-96368	银行	唐山市商业银行
0633-96588	银行	日照银行
027-96558	银行	汉口银行
4008308008	银行	恒生银行
8008303811	银行	东亚银行
4008208988	银行	星展银行
4008940089	银行	永亨银行
4006702888	银行	华侨银行
4006789001	银行	友利银行
4008302066	银行	南洋商业银行
4006509226	银行	韩亚银行
4006508899	银行	德意志银行
0412-96178	银行	鞍山银行
0317-96328	银行	沧州银行
0314-96368	银行	承德银行
0355-96515	银行	长治市商业银行
0571-96527	银行	稠州银行
4008886826	银行	大华银行
4001196588	银行	大同市商业银行
4007096658	银行	丹东银行
0546-96588	银行	东营银行
0534-96588	银行	德州银行
0477-96622	银行	鄂尔多斯银行
4008888765	银行	法国兴业银行
0413-96663	银行	抚顺银行
020-961111	银行	广州农商银行
0797-96296	银行	赣州银行
0771-96288	银行	广西北部湾银行
4001196656	银行	葫芦岛银行
4008096528	银行	湖州银行
96599	银行	湖北银行
95105757	银行	晋城银行
4006535666	银行	晋中市商业银行
0416-96178	银行	锦州银行
0573-96528	银行	嘉兴银行
0792-96202	银行	九江银行
4006770537	银行	济宁银行
0391-96368	银行	焦作市商业银行
4006696569	银行	昆仑银行
0419-96678	银行	辽阳银行
4006458888	银行	龙江银行
4006996588	银行	临商银行
0379-96699	银行	洛阳银行
0772-96289	银行	柳州银行
0830-3111818	银行	泸州市商业银行
0833-96811	银行	乐山市商业银行
0576-96521	银行	民泰商业银行
8008302066	银行	南洋银行
4008096019	银行	内蒙古银行
0377-61639999	银行	南阳银行
028-96869	银行	南充市商业银行
0812-3601973	银行	攀枝花市商业银行
4008888883	银行	青海银行
0533-96588	银行	奇商银行
0575-96528	银行	绍兴银行
0793-96233	银行	上饶银行
0398-96558	银行	三门峡银行
0825-2922222	银行	遂宁市商业银行
0410-96668	银行	铁岭市商业银行
0576-96575	银行	泰隆商业银行
0538-96588	银行	泰安市商业银行
0473-965188	银行	乌海银行
4006196588	银行	潍坊银行
4000096636	银行	威海市商业银行
0991-96518	银行	乌鲁木齐商业银行
4006688600	银行	新韩银行
0319-96306	银行	邢台银行
0376-96688	银行	信阳银行
4006753999	银行	新乡银行
4001156000	银行	阳泉市商业银行
4007896718	银行	营口银行
4008311777	银行	烟台银行
0831-96578	银行	宜宾市商业银行
0313-96368	银行	张家口市商业银行
0421-96667	银行	朝阳银行
0731-967585	银行	郑州银行
4000208886	银行	驻马店银行
4008800338	银行	珠海华润银行
0813-96813	银行	自贡市商业银行
0852-96036	银行	遵义市商业银行
83579988	银行	中国进出口银行
68085370	银行	中国农业发展银行
023-96968	银行	重庆三峡银行
95518	保险	中国人保财产保险
95519	保险	中国人寿保险
95511	保险	中国平安人寿保险
95512	保险	中国平安财产保险
